item_id,item_name,order_count
630392,Best 9,14872
630375,Best 7,14866
5964868,Oksekodsburger,14305
5956555,Unspecified,14232
4043348,Aften Voksen,14203
3896100,Fadøl - Grimbergen double / 1664 Blanc / Månedens øl,14140
535283,Unspecified,14128
1668415,Øl nat,14123
1424624,Voksen,14106
603361,Focaccia,14022
5972623,Slagtervarer,13964
4707565,Margaretha,13915
805808,Unspecified,13757
2151852,Sprut,13546
2562175,Pølsehorn,13452
656688,Morgenbolle m. Smør og syltetøj,13444
5942068,Alm. øl,13214
1105186,Frugt og Grøntsager,13185
912691,Stor flæskesteg,13108
556431,Unspecified,12945
5954105,"Sprit 37,-",12870
5954041,Alleenberg Øl,12735
716934,Blomster,12660
3547232,extra empanada,12616
489564,Caffe Latte Stor,12604
538093,ØL ALM.,12543
5986642,Smag salad menu,12495
575594,Smør,12489
5962976,Alm øl,12392
5937138,Pose,12274
5958709,SHOT 2,12246
1686941,1 kugle,12231
5967707,Flaske øl,12150
781112,Panini (75),12090
781116,Nachos med,12081
653571,Stor box,12058
1687195,Guf/flødebolle,12045
630267,Ekstra tilbehør 3,12006
429015,Cheese dog / bacon dog - Fransk Hotdog,11979
417785,Unspecified,11971
2152162,Special Øl,11968
523010,Take away,11963
598763,Unspecified,11921
5964899,Alm kaffe,11860
558694,Stor Caffe Latte,11847
5980317,Softice m. Drys (Lille),11844
5801702,BOLLE MED OST,11680
381605,Unspecified,11655
622196,Pitabrød med Shawarma (kalvekød),11622
446489,Unspecified,11520
893685,Dagens filter,11517
575782,Flat white,11409
4033452,2 kugler,11374
5960663,Stor Fadøl,11357
910614,Bolle m. Smør & gammel knas,11276
5938137,Pølsehorn m ketchup,11244
5982602,2 Kugler,11226
1668414,Fad Nat,11089
5965070,Te,11080
5015009,Matilde Original,11075
5404120,Stjernekaster,10983
822738,Stor sodavand,10977
5938197,Kaffe Latte / Chai Latte,10948
615579,Alm. hotdog,10914
390476,Kows Forårsruller (Kylling) 4 Stk.,10888
909171,Fadøl Fra Jelling Bryggeri 40 cl,10884
480010,Bitter,10862
5963345,Middagsretter - varm selv,10840
5954044,"Øl 53,-",10782
629374,Lun Hjemmelavet Delle,10751
5980691,1/2 L. Fadøl,10545
5961242,Americano,10524
5947921,Sandwich,10475
5964934,Isvand,10425
2152074,Øko flaske øl,10402
764246,1 stk RTD,10386
5717366,Apple Juice,10385
5552099,Bolle,10380
5980322,2 Kugle,10362
5954043,"Øl 46,-",10314
3896097,Craft Saft 33 cl,10143
5958713,SPRUT 2,10122
5986282,Bord,10106
622975,Almindelig,10038
480012,Sodavand,10038
833474,Brød,10029
5947922,Håndmadder,10013
2152161,Special Øl,10002
5404141,Fish and chips,9989
3008900,Stor sodavand,9975
390550,Kildevand,9936
5552123,Cappuccino,9933
909185,Sodavand,9915
390474,Satay Kyllingspyd 3 Stk.,9900
495527,Øl,9882
4701847,Delikatesser 49 kr,9858
5966266,Div. Is,9855
2562166,Redbull,9849
5772914,KARDEMOMME SNURRE,9822
5937361,Unspecified,9805
5958706,UNDERBERG,9780
556333,Tobak,9770
478032,Carlsberg Pilsner,9720
5947833,2 Kugler med flødeskum og syltetøj,9712
5968483,Bravissimo Is,9708
5961243,Latte,9704
5947366,Kage/Choko Bar,9703
390475,Kows Forårsruller (Vegetar) 4 Stk.,9700
5953239,Blanc,9688
5950913,FRIKADELLER,9632
656722,Cappuccino,9626
480011,Shots,9598
416999,Unspecified,9440
2151826,Shot,9420
3003354,Øl/Vand/Spiritus,9404
4708120,Cappuccino,9390
5961213,Kagesnit,9376
5964848,French Fries,9360
437682,Fadøl (40),9353
390532,Massaman Karry - Kylling,9348
4707707,Frugt & Grønt Tallerken,9260
4708031,Iskaffe,9225
617126,Flaske øl,9177
622800,Maxi Sandwich,9157
764247,3 stk RTD,9126
5963358,Håndmadder,9104
3081126,Vand,9061
370694,Unspecified,9052
5983207,Pepperoni,9048
534058,Kylling & Bacon,9035
3128487,Fish & Chips,9004
5987385,Guf,8955
656717,Filter,8936
1112443,Menu 1,8936
622537,Flaske øl (25),8931
531225,Hoff Lager. Classic,8914
5954199,"Øl 40,-",8914
3392722,Dagligvare,8902
893339,Alm øl,8892
630294,Best 1,8884
764237,Fyraftens Øl 16-18,8868
781079,Latte,8799
5014499,Pepsi Max,8785
478033,Tuborg Classic,8779
4033437,Guf og syltetøj,8726
5977901,1 Kugle,8640
5552122,Latte,8610
5953393,Guinness,8600
461034,Sandwich,8578
462605,Unspecified,8558
3896101,Ramlösa 33 cl,8526
478444,Unspecified,8505
5953460,Pita Kebab,8504
3127686,Stor Alm. Øl,8442
3082808,Mellem sodavand,8436
5960530,CAPPUCCINO & LATTE,8412
615211,Durum Kebab,8388
764255,Andre Shots,8382
603377,Bagels,8379
603378,Bagels med Creme,8351
671051,Slice,8336
5692786,CAPPUCHINO,8334
603359,Dagens Ret,8323
390481,Kow Taster 1,8312
5960526,KAFFE,8310
3081125,Øl,8303
5958105,Unspecified,8280
1112466,Menu 2-4,8269
533741,Alm. Kaffe,8224
3127767,Stor Speciel Øl,8202
5958041,FLØDEBOLLER,8178
1499364,Sprit (22),8165
2550902,1/2 l. Sodavand,8154
489566,Cappuccino,8124
5939930,Aqua D'or ½ Ltr,8124
5985326,2 Kugler,8104
5977274,Vand,8104
4033430,1 kugle,8066
390479,Wantons,8060
5947928,Frikadelle,8054
5976355,Øl,8049
630383,Best 8,8032
537691,Tuborg,8028
5977267,Diverse,8020
1816221,Big Tuborg,8006
451922,Unspecified,7989
390492,Stegte Ris - Kylling,7984
556320,Dantoto + Lotto,7976
826464,Iced Caffe Latte,7963
5964847,Nachos med Kylling,7960
5963247,Tuborg/ Carlsberg Fadøl/ Draft Beer,7928
2550864,Hotdog,7890
4851848,Fiskedeller 3stk.,7869
5936911,Caprizone,7865
3595384,Unspecified,7863
5965126,PEPSI MAX LILLE,7855
5961244,Cappuccino,7840
5936274,Sodavand Flaske,7812
2550868,Dip,7794
5960541,SODA & JUICE,7752
5938196,Alm. Kaffe,7740
5954193,Stor Alm.,7714
3082801,Lille sodavand,7700
5961744,Unspecified,7680
619787,R5 Tonkutsu Ramen,7676
672708,Unspecified,7673
5947854,Pizza med Pepperoni halal,7635
1499386,Aalborg Øl,7558
1668453,Øl,7527
5935689,FW,7498
1687087,Stor,7479
5964931,Isthe med Hyldeblomst,7470
5954100,"Sjusser 110,-",7461
5014456,Red Bull Energy Drink,7460
5942073,Alt Spiritus,7456
806453,Lille flæskesteg,7454
451272,Unspecified,7449
1229711,1/2 Bolle m. smør og ost,7448
2550867,Pomfritter,7434
460595,Unspecified,7427
2852573,1/2 Liter Sodavand/Isthe/Cocio,7410
5960549,KAGE,7404
1917757,Stor Lux Fadøl,7404
5947947,Tobak,7401
5014489,Faxe Kondi,7390
5974435,Homemade Guacamole (Advocado),7377
5947853,Kylling Nugget 4 stk.,7375
5961275,Surdejsboller,7368
5963361,Stjernekaster,7352
5950657,"Tuborg Classic 0,5",7335
622218,Shawarma,7334
5958708,SHOT 1,7332
1420007,Pitabrød kyllinge,7329
2562165,Kaffe Mælk,7326
596462,Alt mælk,7321
5980321,1 Kugle,7320
630304,Best 2,7312
2151856,Sprut,7268
5954217,Vand,7268
5965133,PEPSI MAX MELLEM,7245
5107603,Filur,7230
5958710,ICE,7218
489780,Brød,7217
604123,Sodavand,7200
5999103,Unspecified,7172
5953247,Stonewall,7168
5693269,FILTER,7138
5953246,Punk IPA,7136
5107620,Max Batonnets Glace Push Up Haribo X1 - 85ml,7135
684464,Salatbar / varmbuffet,7132
5950655,"Carlsberg 0,5",7116
5552121,Flat White,7092
2557568,Vand til bordet,7083
428992,Fransk Hotdog,7078
1642695,Spiritus 25,7042
5964870,Kylling burger,7040
531523,Unspecified,7039
5983295,Unspecified,7028
531221,"Tuborg, Div. Alm. øL",7023
1687047,3 kugler,7020
5935657,Dagens sandwich,7010
764249,Enkelt Drink,6990
764240,Ølkort,6966
575595,Marmelade,6966
5067368,Pitabrød kebab,6943
5825595,Capri Sun,6940
716633,Alm Øl (Fra kl16-24),6940
5965791,Sports Shake,6905
764243,Sodavand,6894
5014984,"Capri-sun, Safari Fruits",6890
5962384,Unspecified,6872
2562171,Capri Sun,6849
1499389,Ølkort,6846
1105187,Mejeriprodukter,6843
5953234,Private Dance,6795
4033435,Drys,6792
4694181,Fisk 100kr,6792
2127167,Cafe,6790
1635901,Unspecified,6771
5954194,Stor Lux.,6765
5936929,Fairy Drink,6755
1424632,Adgang Copenhagen Card,6738
514043,Harboe vand,6732
4609767,Røgvarer,6732
3552802,Unspecified,6725
615183,Dåse,6724
489577,Filterkaffe,6724
5203958,Pringles Sour Cream & Onion,6710
5982779,Flaske øl (25),6704
5983202,Ham and Cheese,6700
472885,Carlsberg,6670
2852572,Pose/Emballage,6662
2550910,2 Kugler Is,6660
2562131,Surdejs Bolle,6654
5960539,FAD stor,6648
716904,Formiddags Øl,6647
3740127,Sodavand. 50cl,6627
619217,Frokosttilbud/Sandwich,6623
4089669,Happy empanadas,6616
5552116,Filterkaffe,6615
94523,Cappuccino,6613
382726,Sodavand 0.5 l,6599
5552124,Iskaffe,6549
5963237,"Coaca-Cola, Coca-Cola Zero",6496
603369,Scones,6492
560086,Unspecified,6492
429683,"Prince,kings",6480
575783,Alm. cappuccino / au lait,6477
5982282,Fransk Hotdog,6470
2128134,Unspecified,6469
5939872,Capri-sun Monsteralarm,6425
653740,Dåse sodavand,6421
5977933,Kaffe,6410
2550866,1/2 med Hotdog,6405
5983206,Margherita,6394
5967968,Sprit (30),6390
826454,Blendet iskaffe,6359
429682,Viking,6344
2557569,Sodavand,6333
2912477,Vaffel 2 kugler,6333
5552098,Omelet,6324
5943963,Coca Cola/Zero/Squash/Lemon/Sprite/Kinley,6302
5958373,STÆNGER,6288
5951089,Lille frugt tea,6279
4033458,Lille softice,6268
5953240,Japanese Rice Lager,6256
1668452,Fadøl,6246
3896049,Ristet Hotdog,6237
390500,Ægnudler - Kylling,6216
5954121,Cigaretter/snus,6201
1424625,Ung (5 – 18 år),6186
429170,Vand,6165
3782459,Diverse,6108
569126,Unspecified,6102
5947365,Focaccia,6084
465441,Unspecified,6079
5954127,Depositum 100,6066
95496,Americano,6064
5943980,1 Kugle med flødeskum og syltetøj,6032
5988092,Kande postevand,6027
575687,Croissant,6008
2562164,Kaffe,6003
4707831,Toast (Kylling & Ost),5990
5953499,Kebab Box,5988
5941016,"Tuborg, Hof, Royal",5980
5953245,Hazy Jane,5960
3740122,Bornholmerøl. 50cl,5958
1917761,Flaske Øl,5949
5961214,Kardemommesnurrer,5936
94521,Latte,5931
5985541,Pelligrino dåse,5925
5960665,Stor Lux Fadøl,5914
487123,Unspecified,5901
894421,Unspecified,5880
380521,Unspecified,5876
5971888,Drinks,5874
2404755,Unspecified,5828
896825,Americano,5794
3555298,Pomfrit/Steakpoms,5790
716939,Øl (23),5784
5963363,Croissant,5784
450781,Rugbrød,5773
3806369,Alfajor,5772
5014510,Coca-cola,5770
575777,Cortado,5766
5958707,VIN 40,5760
2152163,Vand,5748
2953480,Stor Classic,5718
5233557,STOR ØL HH,5718
2127130,Diverse,5713
5974078,Gyros PITA,5706
582085,Unspecified,5700
4707605,Pizza Med Kylling,5690
5948004,Andet,5681
824808,Glas postevand,5674
656716,Americano,5670
390494,Pad Thai - Rejer,5664
5199916,Ostepops,5655
656698,Morgen tallerken,5652
5953248,Wild Wave,5616
3663919,Foregin Beer Big,5612
615223,Stor Latte,5603
716940,Ølv(25),5593
1049530,Salg ølkort,5560
669006,4 smørrebrød,5554
5954097,Guld Øl,5535
696185,1 kylling,5526
5969052,Unspecified,5520
2963501,Dåse sodavand,5511
630328,Best 3,5496
5942070,Vand,5486
3740103,Wienerschnitzel,5481
564148,Unspecified,5467
5234641,Unspecified,5466
4702016,Delikatesser 19kr,5463
622798,Mini Sandwich,5449
5231126,SPRIT,5430
556336,Kioskvarer,5426
4707720,Slikkepind,5425
493665,Alm Brød,5410
489668,Bacon x 2 stk,5403
822600,St vand,5381
1917764,Sodavand,5379
656724,Is-Latter med Karamelsirup,5378
5950616,Wienerbrød små,5372
564484,Div. Vand,5360
534412,Sodavand,5360
937248,Fiskefilet,5358
5943987,Softice - Hansens Økologisk,5326
5967935,Flaske øl (25),5324
390512,Ingefær Og Cashew - Kylling,5316
5943956,Classic,5310
5953795,Coke,5304
5936199,Sour Cream & Onion,5300
456148,Ekstra Tilbehør Alm & Dp,5290
1477373,SMØRREBRØD,5262
822769,Øl kort,5243
429188,Øl Tilbud,5241
535157,Unspecified,5237
4042459,combo + beer/jarrito,5234
5948017,Sodavand 0.5 cl,5229
5950904,SANDWICH,5228
5942066,Bamse,5226
5228536,Alm. ØL,5205
5950613,Smurt rundstykke,5203
1399637,Sodavand,5201
5399402,"Tuborg Classic 0,0%",5201
5953942,Chips,5192
823812,Saft / Fritz,5191
4043595,Jarrito,5176
6001917,Frugt og grønt,5174
390523,Panang Karry - Oksemørbrad,5172
450785,5 stk. Morgenstykker Tilbud,5164
5953465,Durum Kebab,5160
638819,Husets Pizza,5148
1816227,ALM. Fl. øl,5145
5966212,Silkpose,5135
5965839,Pomfritter,5125
5968479,Drys,5124
615220,Flat White,5114
2152149,Rød Kat,5098
437681,Fadøl (30),5097
5203936,Tuiles Pringles Original,5080
909116,Byens Burger,5079
781101,Soda,5070
3392633,Vegetable,5024
3807722,Stjerneskud,5018
5963248,"Grimbergen Fadøl - Double Ambree, Blonde",5016
5692861,AMERICANO,5012
390478,Kow Strips,5012
5953352,Champagne Glass,5010
4043666,Beer,4993
1499359,Vand,4983
696481,Pommesfrites,4981
764256,Meter Shots,4980
1642593,Vand,4975
5962159,Smørrebrød,4955
5947381,Capi sun,4946
5989691,Flaskevand,4940
764254,Små Shots,4938
5980664,9 stk. Nuggets Menu,4930
5961278,Smør,4924
489656,Bagel Laks Krabbesalat,4919
5693144,LATTE,4910
5941018,Sodavand,4900
684372,Toast,4894
716603,Øl,4890
2562179,Sandwich,4884
622542,Sprit (22),4872
2604931,Sodavand/øl,4866
5943988,Drys,4862
553318,Drinks,4854
1737996,Div Vin,4853
5228754,SPRIT,4835
429642,Øl/vand/Spiritus,4828
3547235,combo + salad,4821
472894,Guinness,4819
390495,Pad Thai - Oksemørbrad,4808
6011326,Hj Pita Shawarma,4800
5954054,Red Bull,4797
5961277,Ost,4792
575724,Gulerodskage,4791
622539,Fadøl Stor (40),4786
3740104,Gudhjemschnitzel,4773
603376,Morgenbrød med Smør,4773
781083,Americano,4767
5980659,Burger Menu,4765
630338,Best 4,4744
5985987,Smashburger,4740
5962061,Kinder Joy,4735
3719238,Unspecified,4732
1642620,Rabatkort,4732
489811,Ristet Hotdog,4723
515231,Stor Luksusøl,4718
909169,Fadøl Fra Jelling Bryggeri 25 cl,4716
575787,Alm Caffe Latte,4716
5961039,CHIPS,4716
5980676,Pommes Frites,4715
575581,Gammel Knas ost,4714
5953399,Carlsberg,4712
575598,Gouda Ost,4700
5954552,entrance,4700
538114,RAFLE ØL,4695
2307166,Unspecified,4683
537692,Tuborg classic,4669
3896106,Frokost 4-11 år,4662
5943913,1. Club Sandwich,4662
5954648,1. Noodle soup w. Beef,4662
533800,Håndmad,4655
613503,Pita Kebab,4652
1297198,Tuborg pilsner,4651
5998478,Unspecified,4644
317803,Dagensret uden drikke,4642
5404361,3. Fish and chips,4641
781080,Capp,4638
563393,Alm øl - Dag,4635
1297454,Tuborg classic,4622
5958712,SPRUT 1,4620
422918,Unspecified,4610
5950665,"Soda 0,25",4605
618898,Unspecified,4605
5943958,Grimbergen,4596
1643650,Flæskesteg lille,4560
789218,Unspecified,4551
5937797,Flaskeøl,4537
472905,Grimbergen Double,4535
460011,Unspecified,4523
615434,Kode 2,4518
5985325,1 Kugle,4512
3740126,Sodavand. 25cl,4512
4701826,Delikatesser 39kr,4512
5982597,Lille,4503
511055,Unspecified,4502
3127739,Lille Speciel Øl,4482
575690,Pain au chocolat,4480
5985332,Fransk Hotdog,4476
5014478,Faxe Kondi Free,4475
350407,Unspecified,4468
5229117,TOBAK,4465
5954114,Hotshot,4464
616222,"Mellem Sodavend 0,5 l",4462
622066,Salamino,4457
656735,Laks/Avocado,4456
2550865,Fransk Hotdog,4443
1248458,Den glade gris,4435
5960548,SANDWICH & PANINO,4425
514717,Flaskeøl,4424
617130,Shots,4423
5942959,Ristet Hotdog,4413
622538,Fadøl Lille (25),4411
478046,1664 Blanc,4411
603373,Slikkepind,4408
5964869,Mexicansk burger,4390
555102,Unspecified,4386
533692,Alm. Flaskeøl,4377
591723,Cookie,4367
611219,Sodavand - Mellem,4360
5953475,"Dåse Sodavand (0,33 L)",4348
5964846,Nachos,4345
5976571,Frokost Stor Pizza Wrap,4338
390507,Chili Og Basilikum - Oksemørbrad,4332
5939944,"Capri-sun, Safari Fruits",4316
575688,Flap Jack,4310
472890,Tuborg Classic,4302
5772509,GRILLED CHEESE,4298
781119,Nachos uden,4287
696983,1/2 kylling &fritter,4286
893340,Classic,4276
5964863,Sandwich Kylling,4275
1816231,Happy Hour Pint,4274
461050,Dagensret,4273
5967969,Sodavand (30),4272
5947370,Ice Tea red bull,4272
617037,The Borger,4264
5965790,Slush Ice 30 cl.,4255
456173,Pommes Frites,4252
480018,Sæt,4240
629346,1/2 l. Sodavand,4239
5229019,KAFFE,4235
603372,Te,4228
1917772,Cocktail,4227
656994,Flaske øl (30),4224
5404457,Fiskefilet m. pommes frites,4214
173042,Kylling,4210
5965819,Panini med kylling,4205
390528,Grøn Karry - Kylling,4204
3055770,Unspecified,4202
613480,Pita Kebab,4198
638848,Durum Kebab,4197
4158325,Drys,4196
615433,Kode 1,4195
5963549,Håndmadder,4190
5958542,Fransk Hotdog,4184
5970876,Alm. Øl,4179
5967966,Fadøl Stor (50),4178
822770,Spiritus,4178
5974413,Chicken,4170
5983277,Unspecified,4168
781129,Cookies,4152
2852557,Flæskestegsandwich,4152
684317,Chokoladebolle,4148
429090,½ Alm Sodavand,4141
701184,Drinks,4141
2961101,Softice top,4134
377886,Pølsebrød,4132
5951566,Ragu,4125
717416,Dyppelse,4121
5960672,Sodavand,4121
3127677,Lille Alm. Øl,4116
5717151,Dagens kage,4110
5975638,Unspecified,4100
4103562,Voksen,4086
5963344,Frikadeller 3 stk. kold,4080
5972261,Beer Happy Hour,4071
781113,Salat,4071
5943021,STOR Sodavand,4068
461066,Håndfrikadeller,4052
570470,Unspecified,4042
909173,Fadøl Fra Jelling Bryggeri 50 cl,4026
5939929,Pepsi Max,4020
5964855,Kridts stjernekaster,4015
656714,Hyldeblomst lemonade,4014
5107476,Cornetto Classic,4005
5950914,KAGER,4004
575600,Morgentallerken,4002
622558,Sprit (30),4000
5953401,Tuborg Classic,4000
656731,Hønsemad,3994
478051,Pulp Art,3990
3547214,Mate Frio,3987
611135,Viking,3974
3190411,Lille fadøl,3963
552281,Nutella Søde Pandekager,3961
5418457,Fars 1kg,3960
5552119,Americano,3960
622815,Alm,3954
5942960,Ristet Fransk,3953
5966821,Tempura rejer,3952
822777,Sodavand,3950
390508,Chili Og Basilikum - Kylling,3948
5960550,CROISSANT & COOKIE,3948
3740119,Fadøl. 50cl Classic,3945
445254,Aftensmad,3943
619779,S3 Gyoza (6 stk.),3941
656692,Morgentoast,3938
5964550,Div. Is,3926
1494513,Unspecified,3921
2562193,Dip,3921
603360,Salatbar,3916
5951565,Funghi Pappardelle,3890
5940191,GRØN JUICE,3882
1040971,Almindelig pilsner,3867
909160,Filterkaffe,3855
5975864,Flaske øl,3846
3005581,Redbull,3844
5943946,Latte,3842
1105817,Unspecified,3841
2953447,Stor Pilsner,3837
4609921,Fisk 269kr,3837
5997154,Unspecified,3836
619777,S1 Wafu Karaage (6 stk.),3835
533789,Kaffe/The med refill,3832
3128120,Pommes,3822
5953387,Classic,3816
751708,Sodavand,3811
533851,Dagens Ret,3807
5107581,Københavner stang,3805
5228627,SODAVAND,3805
5825635,Icetea,3800
1298536,Sodavand,3795
5990153,Ad Libitum (Voksen),3786
5107632,Twister Pineapple,3785
480009,Alm Spiritus,3778
2852559,1/2 Grillkylling med Tilbehør,3768
5943941,Americano,3764
606278,Stor Kebab Durum,3763
611205,Pizza,3750
379995,Kaffe,3749
898312,6 ting,3748
5960804,Stor Slush Ice,3735
5230412,SHAKER,3730
5935947,Orange Juice,3730
5965510,Pommes Frites – Lille,3720
493596,Alm Fransk,3716
5965511,Pommes Frites – Stor,3712
5940053,1 år,3712
5971893,Fadøl Stor,3711
5228499,Personale øl,3710
5977903,3 Kugle,3705
489567,Americano,3698
5937679,Citron lemonade,3696
382684,Pølsebrød,3692
5937863,Jerk Chicken,3691
5943957,Blanc 1664,3684
5989680,Clasic Pilsner,3684
909114,Stjerneskud,3678
534411,Lux Øl,3677
618293,Unspecified,3675
5942644,Troeffelkugle,3675
684309,Bolle,3668
5953403,Grøn Tuborg,3664
517030,Sodavand/juice mellem,3658
3896051,Frank Hotdog,3654
5974417,Pulled Beef (1 stk),3648
5982781,Fadøl Stor (40),3644
2550917,Alm. Softice,3642
684353,Foccacia,3642
5963232,Frisk Hjemmelavet Smørrebrød,3640
3896104,Bryghuset Solvognen 50 cl,3640
5974421,Nacos ost. (v)/cheese (v),3633
5974412,Beef,3630
3740111,Stegt Rødspætte,3627
5950668,"Water 0,33",3624
5686957,YOGHURT,3622
1639344,Vand,3620
3452254,Burger,3618
5987441,4 - THY ØKO PILS,3616
781115,Keto,3615
4043586,Water,3614
622811,Ekstra 7,3613
5204068,Haribo Bloxx,3610
5402994,"J. Moreau & Fils, Select Blanc de France - Glas",3605
5962016,6. Pepperoni,3600
909190,"Happy Hour, Jelling Bryggeri",3597
489629,Iskaffe,3593
5963218,Flæskestegs-Sandwich med eller uden Bacon,3576
587912,Unspecified,3575
5951564,Pomodoro Linguine,3575
329073,Bolle med smør og ost,3573
5939787,Fresh Watermelon,3570
5964831,Kridts Brunch,3570
2321548,Mandelcroissant,3570
5418439,Fars 1/2kg,3570
5965142,FAXE KONDI FREE MELLEM,3565
5955662,Pommes 62,3560
5967964,Flaske øl (35),3558
5982603,3 Kugler,3555
619784,R2 Shoyu Ramen,3552
5966953,Kande saft,3552
538094,ØL KORT,3546
5961971,F4 Pizza,3544
537700,Thor classic,3532
536055,Øl,3530
615428,Vand Alm,3529
5951860,Kaffe,3527
5107361,Cornetto Go,3525
5965136,PEPSI MELLEM,3520
523826,Kaffe/The,3517
5964914,Varm chokolade,3515
5953241,Budvar Dark Lager,3504
450782,Surdejsbrød,3504
571062,Unspecified,3498
3259599,Bøger,3494
489832,Pølse Mix,3492
5969886,Tuborg,3489
656721,Flat White,3488
3392153,Big Noodle,3486
478053,Mikkeller Burst Ipa,3485
429172,Luksus Shot,3480
451975,Unspecified,3473
5950112,1/2 l Sodavand,3468
5987445,6 - Solstrejf,3464
5970942,tra paaske frokost,3464
615222,Lille Latte,3461
618565,Unspecified,3448
824798,Glas vand,3438
390534,Ris,3436
5963812,Amigo,3436
1010586,Lille pose,3435
5950992,Stor frugt tea,3432
3190507,Flaske øl\Dåse øl,3426
377870,Soda/cocio stor,3416
5014105,Citron Med Brus,3415
5986656,Chicken Sandwich,3415
5772706,MORGENKOMPLET,3412
1687186,Brød,3411
5961248,Varm Chokolade,3408
1112357,Klip vand,3405
5964894,Kykkeliky menu,3405
2759606,Div. Is,3402
5982601,1 Kugle,3402
615423,AAB Pils 50cl,3401
5965455,"47-Tomatsauce, Ost, Kebab, Pepperoni",3392
861914,Ølkort,3388
603363,Sodavand,3385
317249,Dagensret,3383
538972,SODAVAND 250ML + REDBULL,3382
684378,Burger,3380
5982783,Sprit (22),3380
377888,Hotdog,3378
433945,Div. Mad variabel pris,3378
5936807,STOR ØL,3376
5953796,Coke Zero,3376
717373,Ristet pølse,3372
453715,Buffet Voksen Weekend& Helligdage,3371
5014459,Red Bull Sugar Free,3365
489694,Gulerodskage,3362
5961250,The,3360
429179,Spiritus,3360
657000,Fadøl Speciel 1,3356
1642652,Spiritus 22,3346
5982598,Stor,3345
5938138,Kyllingespyd,3340
1871024,Diverse Dype.,3329
533937,Drink (95),3327
